match_id,match_seq_num,radiant_win,start_time,duration,avg_mmr,num_mmr,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team
3919400107,3400797472,True,1527515195,2401,5814,7,7,22,75,8,123,"33,59,20,81,86","50,106,120,47,71"
3919401803,3400788054,True,1527515243,1925,7165,10,7,3,75,10,224,"88,68,78,104,76","64,8,50,60,43"
3919409503,3400851503,True,1527515444,3810,5288,7,7,3,75,8,224,"21,104,75,100,44","48,112,62,74,7"
3919428506,3400829656,False,1527515948,2642,5310,8,7,22,75,9,138,"85,84,72,106,37","3,86,48,22,78"
3919446107,3400813924,True,1527516401,1661,5906,9,7,3,75,10,224,"13,25,86,83,77","27,67,97,17,64"
3919453400,3400816515,True,1527516631,1565,5597,5,7,22,75,6,137,"98,54,3,22,107","106,26,61,16,29"
3919454402,3400799840,False,1527516629,974,5772,8,7,22,75,10,136,"34,42,114,90,99","84,78,91,44,93"
3919460104,3400824605,True,1527516799,1564,6665,7,7,22,75,9,131,"52,106,94,53,60","74,96,37,93,51"
3919464302,3400811045,False,1527516927,1090,6934,7,7,22,75,9,133,"98,49,83,76,30","91,93,47,38,84"
3919470903,3400862252,False,1527517110,2524,5636,9,7,22,75,9,135,"11,21,16,12,3","106,70,120,22,91"
3919478104,3400847990,True,1527517304,1803,6340,9,7,3,75,9,227,"114,26,92,85,52","64,2,76,91,48"
3919483503,3400897847,False,1527517447,3416,5541,8,7,22,75,9,135,"101,87,56,41,69","20,86,34,81,28"
3919485100,3400870984,False,1527517500,2450,5695,6,7,3,75,8,224,"35,16,43,25,86","52,98,21,72,26"
3919486408,3400826151,False,1527517523,781,5567,8,7,22,75,9,202,"26,14,25,67,38","119,97,103,74,4"
3919490502,3400891753,True,1527517644,2924,5570,6,7,22,75,7,135,"79,14,44,120,23","87,21,60,34,8"
3919491200,3400876441,True,1527517666,2299,5676,9,7,3,75,9,224,"39,41,99,119,64","48,57,79,23,60"
3919492706,3400840805,False,1527517711,1261,5186,8,7,3,75,10,227,"14,8,108,30,64","93,37,71,46,120"
3919498707,3400881815,True,1527517879,2095,5688,8,7,3,75,10,224,"27,44,22,7,29","71,25,26,54,104"
3919504405,3400887232,False,1527518038,2473,6329,7,7,3,75,8,171,"12,68,88,34,108","1,49,120,91,85"
3919507407,3400865368,True,1527518103,1681,5404,5,7,22,75,7,155,"104,39,27,89,4","100,16,79,23,48"
3919514607,3400892272,True,1527518319,2194,5819,5,7,22,75,5,155,"21,67,87,76,88","65,39,62,27,8"
3919520406,3400936372,True,1527518439,3683,5734,5,7,3,75,8,224,"60,86,12,35,23","25,41,38,14,20"
